State,District,Year,Total_Schools,Primary_Enrollment,Upper_Primary_Enrollment,Secondary_Enrollment,Dropout_Rate_Primary,Dropout_Rate_Secondary,Girls_Enrollment_Percent,Teachers_Per_School
Andhra Pradesh,Visakhapatnam,2018,2863,552559,338940,205161,14.0,10.3,44.5,3.3
Andhra Pradesh,Visakhapatnam,2019,2863,303478,217460,131618,8.9,26.9,46.8,2.6
Andhra Pradesh,Visakhapatnam,2020,2863,426587,306334,234647,2.4,23.2,45.5,3.8
Andhra Pradesh,Visakhapatnam,2021,2863,389368,279451,202576,10.0,17.0,50.0,2.5
Andhra Pradesh,Visakhapatnam,2022,2863,349286,223202,175509,14.4,23.9,44.0,2.5
Andhra Pradesh,Visakhapatnam,2023,2863,349286,275255,199909,11.2,7.1,48.4,2.7
Andhra Pradesh,Vijayawada,2018,1160,230840,189172,107009,14.1,24.9,45.1,1.8
Andhra Pradesh,Vijayawada,2019,1160,107880,71282,42475,3.3,9.1,47.6,4.1
Andhra Pradesh,Vijayawada,2020,1160,110200,77021,44980,7.9,20.9,43.4,3.2
Andhra Pradesh,Vijayawada,2021,1160,135720,87026,61290,10.5,11.2,47.7,1.7
Andhra Pradesh,Vijayawada,2022,1160,163560,122968,86977,2.1,16.0,43.3,1.8
Andhra Pradesh,Vijayawada,2023,1160,193720,120856,79433,6.7,25.2,42.1,3.9
Andhra Pradesh,Guntur,2018,213,27690,18507,10692,9.3,10.7,42.2,3.0
Andhra Pradesh,Guntur,2019,213,21513,13500,9325,16.2,18.0,45.2,2.3
Andhra Pradesh,Guntur,2020,213,41322,34298,26419,3.0,27.4,50.1,2.4
Andhra Pradesh,Guntur,2021,213,38340,28419,17746,7.5,28.3,42.3,1.8
Andhra Pradesh,Guntur,2022,213,23856,19800,12632,13.3,26.3,44.4,3.0
Andhra Pradesh,Guntur,2023,213,40896,25034,14392,10.5,10.4,48.1,2.2
Andhra Pradesh,Nellore,2018,2954,460824,312612,202409,4.0,27.7,50.6,1.5
