State,District,Year,Education_Literacy_Index,Healthcare_Access_Index,Food_Security_Index,Employment_Income_Index
Maharashtra,MH_District_1,2018,63.43,59.25,73.04,62.73
Maharashtra,MH_District_1,2019,64.69,61.03,73.9,64.2
Maharashtra,MH_District_1,2020,66.43,60.99,74.32,65.03
Maharashtra,MH_District_1,2021,66.93,64.4,75.88,66.2
Maharashtra,MH_District_1,2022,68.15,64.96,78.68,67.43
Maharashtra,MH_District_1,2023,70.62,64.9,77.55,67.89
Maharashtra,MH_District_2,2018,69.98,56.43,61.32,58.81
Maharashtra,MH_District_2,2019,71.12,57.84,62.21,60.2
Maharashtra,MH_District_2,2020,73.27,58.4,63.92,60.58
Maharashtra,MH_District_2,2021,74.14,60.5,65.06,61.58
Maharashtra,MH_District_2,2022,74.2,60.92,65.56,62.3
Maharashtra,MH_District_2,2023,78.28,63.72,69.17,66.98
Maharashtra,MH_District_3,2018,65.94,49.12,66.48,42.63
Maharashtra,MH_District_3,2019,67.4,50.78,67.1,44.18
Maharashtra,MH_District_3,2020,68.54,51.63,69.28,46.09
Maharashtra,MH_District_3,2021,70.2,51.55,69.32,45.21
Maharashtra,MH_District_3,2022,71.86,53.24,71.42,49.48
Maharashtra,MH_District_3,2023,70.97,54.68,74.32,51.51
Maharashtra,MH_District_4,2018,72.52,52.71,51.89,58.38
Maharashtra,MH_District_4,2019,73.32,53.84,52.91,60.15
Maharashtra,MH_District_4,2020,75.96,55.46,54.57,61.0
Maharashtra,MH_District_4,2021,77.01,57.67,56.07,61.79
Maharashtra,MH_District_4,2022,76.1,59.25,55.0,62.08
Maharashtra,MH_District_4,2023,77.95,60.09,59.38,65.91
Maharashtra,MH_District_5,2018,65.37,48.16,72.08,52.99
Maharashtra,MH_District_5,2019,66.86,49.1,72.98,54.3
Maharashtra,MH_District_5,2020,67.93,51.05,74.32,54.59
Maharashtra,MH_District_5,2021,70.65,52.55,74.52,57.2
Maharashtra,MH_District_5,2022,70.39,55.0,74.7,57.42
Maharashtra,MH_District_5,2023,70.81,54.45,79.85,59.56
Maharashtra,MH_District_6,2018,71.35,56.51,54.85,54.56
Maharashtra,MH_District_6,2019,72.9,57.49,55.62,55.49
Maharashtra,MH_District_6,2020,74.91,58.59,56.39,57.43
Maharashtra,MH_District_6,2021,74.4,60.86,56.86,58.99
Maharashtra,MH_District_6,2022,76.78,63.5,58.72,58.75
Maharashtra,MH_District_6,2023,75.59,65.42,62.31,59.13
Maharashtra,MH_District_7,2018,53.45,53.11,66.77,52.02
Maharashtra,MH_District_7,2019,55.04,54.61,68.3,53.65
Maharashtra,MH_District_7,2020,56.07,56.56,69.29,55.46
Maharashtra,MH_District_7,2021,56.93,55.78,70.18,56.18
Maharashtra,MH_District_7,2022,58.39,56.88,73.02,59.13
Maharashtra,MH_District_7,2023,58.27,57.31,73.26,59.49
Maharashtra,MH_District_8,2018,54.78,49.36,72.78,50.85
Maharashtra,MH_District_8,2019,56.23,50.86,74.01,51.93
Maharashtra,MH_District_8,2020,58.02,50.96,75.46,52.78
Maharashtra,MH_District_8,2021,57.77,53.28,76.7,54.23
Maharashtra,MH_District_8,2022,58.61,55.08,75.71,57.28
Maharashtra,MH_District_8,2023,58.99,54.5,80.35,59.32
Maharashtra,MH_District_9,2018,54.27,63.7,51.8,60.5
Maharashtra,MH_District_9,2019,55.31,65.47,53.21,61.5
Maharashtra,MH_District_9,2020,56.71,65.44,53.22,63.17
Maharashtra,MH_District_9,2021,57.75,66.61,56.54,65.75
Maharashtra,MH_District_9,2022,61.15,68.67,55.52,65.22
Maharashtra,MH_District_9,2023,62.05,70.62,57.84,66.01
Maharashtra,MH_District_10,2018,67.22,60.54,51.05,47.33
Maharashtra,MH_District_10,2019,68.78,61.42,52.34,48.41
Maharashtra,MH_District_10,2020,68.85,63.24,53.55,50.9
Maharashtra,MH_District_10,2021,71.99,65.56,53.26,51.29
Maharashtra,MH_District_10,2022,72.31,63.86,56.03,54.26
Maharashtra,MH_District_10,2023,71.31,68.11,55.93,54.83
Maharashtra,MH_District_11,2018,69.95,68.38,51.71,46.89
Maharashtra,MH_District_11,2019,71.16,69.67,53.01,47.74
Maharashtra,MH_District_11,2020,73.17,70.39,53.27,49.55
Maharashtra,MH_District_11,2021,75.31,71.23,54.61,51.76
Maharashtra,MH_District_11,2022,75.49,74.14,57.17,52.04
Maharashtra,MH_District_11,2023,78.28,74.05,56.65,52.5
Maharashtra,MH_District_12,2018,71.97,52.24,70.18,48.28
Maharashtra,MH_District_12,2019,72.86,53.44,71.41,49.26
Maharashtra,MH_District_12,2020,74.12,54.6,72.95,50.76
Maharashtra,MH_District_12,2021,75.21,56.88,74.75,53.65
Maharashtra,MH_District_12,2022,78.19,55.9,76.49,54.24
Maharashtra,MH_District_12,2023,80.59,59.23,76.35,56.77
Maharashtra,MH_District_13,2018,72.23,56.82,63.58,48.34
Maharashtra,MH_District_13,2019,73.6,58.04,64.51,49.7
Maharashtra,MH_District_13,2020,75.45,59.39,66.41,50.97
Maharashtra,MH_District_13,2021,77.49,61.73,66.8,51.3
Maharashtra,MH_District_13,2022,78.43,62.8,68.58,51.59
Maharashtra,MH_District_13,2023,78.47,64.22,68.16,55.97
Maharashtra,MH_District_14,2018,65.66,64.66,57.71,57.79
Maharashtra,MH_District_14,2019,67.03,65.52,58.94,58.93
Maharashtra,MH_District_14,2020,67.85,66.56,58.93,59.62
Maharashtra,MH_District_14,2021,70.11,69.73,59.91,61.55
Maharashtra,MH_District_14,2022,68.93,67.89,62.0,61.7
Maharashtra,MH_District_14,2023,72.59,68.77,62.72,62.45
Maharashtra,MH_District_15,2018,58.25,65.56,63.19,59.0
Maharashtra,MH_District_15,2019,59.52,67.02,64.25,60.78
Maharashtra,MH_District_15,2020,60.09,68.9,65.93,62.04
Maharashtra,MH_District_15,2021,62.35,69.35,65.91,64.2
Maharashtra,MH_District_15,2022,63.63,72.67,67.28,63.18
Maharashtra,MH_District_15,2023,65.24,70.77,67.88,65.5
Maharashtra,MH_District_16,2018,69.84,65.78,56.64,42.31
Maharashtra,MH_District_16,2019,71.01,67.35,57.56,43.56
Maharashtra,MH_District_16,2020,72.82,68.38,59.63,45.07
Maharashtra,MH_District_16,2021,72.64,69.19,60.75,45.8
Maharashtra,MH_District_16,2022,73.26,69.09,62.38,47.24
Maharashtra,MH_District_16,2023,76.15,73.58,64.29,46.55
Maharashtra,MH_District_17,2018,72.67,45.3,71.61,60.03
Maharashtra,MH_District_17,2019,74.41,46.32,73.03,61.19
Maharashtra,MH_District_17,2020,75.45,47.36,73.05,62.03
Maharashtra,MH_District_17,2021,76.04,49.95,74.55,63.22
Maharashtra,MH_District_17,2022,76.27,51.49,76.38,65.77
Maharashtra,MH_District_17,2023,79.72,51.13,77.91,65.64
Maharashtra,MH_District_18,2018,55.27,68.33,54.25,53.87
Maharashtra,MH_District_18,2019,56.59,69.19,54.98,55.17
Maharashtra,MH_District_18,2020,57.75,70.5,57.37,56.43
Maharashtra,MH_District_18,2021,59.49,73.33,56.66,58.15
Maharashtra,MH_District_18,2022,58.76,73.05,56.87,58.85
Maharashtra,MH_District_18,2023,59.85,73.6,62.09,60.23
Maharashtra,MH_District_19,2018,58.07,46.59,74.87,49.08
Maharashtra,MH_District_19,2019,59.22,47.67,76.21,50.14
Maharashtra,MH_District_19,2020,59.71,48.5,77.91,52.42
Maharashtra,MH_District_19,2021,63.04,50.67,77.5,54.18
Maharashtra,MH_District_19,2022,63.58,50.64,80.31,55.89
Maharashtra,MH_District_19,2023,64.51,50.86,77.97,57.16
Maharashtra,MH_District_20,2018,63.47,66.51,69.79,57.99
Maharashtra,MH_District_20,2019,64.62,67.48,70.68,59.27
Maharashtra,MH_District_20,2020,66.36,69.03,71.23,60.75
Maharashtra,MH_District_20,2021,65.98,71.22,72.66,62.24
Maharashtra,MH_District_20,2022,69.1,70.65,72.65,62.48
Maharashtra,MH_District_20,2023,69.29,71.36,76.45,62.05
Uttar Pradesh,UP_District_1,2018,63.45,61.57,59.95,40.48
Uttar Pradesh,UP_District_1,2019,64.91,62.96,60.95,41.62
Uttar Pradesh,UP_District_1,2020,65.99,64.85,62.63,43.26
Uttar Pradesh,UP_District_1,2021,68.38,65.8,63.07,45.05
Uttar Pradesh,UP_District_1,2022,70.35,67.5,65.56,46.18
Uttar Pradesh,UP_District_1,2023,69.86,70.57,66.49,46.34
Uttar Pradesh,UP_District_2,2018,61.87,52.33,72.43,46.13
Uttar Pradesh,UP_District_2,2019,63.08,53.17,73.34,47.24
Uttar Pradesh,UP_District_2,2020,64.92,54.53,75.54,49.22
Uttar Pradesh,UP_District_2,2021,64.81,57.16,75.77,50.95
Uttar Pradesh,UP_District_2,2022,67.23,58.25,75.47,50.02
Uttar Pradesh,UP_District_2,2023,65.96,58.32,77.62,51.15
Uttar Pradesh,UP_District_3,2018,61.04,64.99,53.77,53.77
Uttar Pradesh,UP_District_3,2019,62.31,66.02,54.92,54.59
Uttar Pradesh,UP_District_3,2020,63.4,68.32,56.48,56.85
Uttar Pradesh,UP_District_3,2021,64.48,68.41,56.96,58.31
Uttar Pradesh,UP_District_3,2022,64.85,70.98,57.63,59.44
Uttar Pradesh,UP_District_3,2023,67.78,69.97,60.59,60.83
Uttar Pradesh,UP_District_4,2018,62.77,61.51,70.9,47.37
Uttar Pradesh,UP_District_4,2019,64.0,62.83,71.63,49.0
Uttar Pradesh,UP_District_4,2020,65.23,64.35,72.68,49.33
Uttar Pradesh,UP_District_4,2021,66.07,64.08,75.32,50.57
Uttar Pradesh,UP_District_4,2022,66.48,66.93,74.09,54.0
Uttar Pradesh,UP_District_4,2023,68.39,69.8,75.25,53.44
Uttar Pradesh,UP_District_5,2018,52.91,56.67,52.71,63.82
