State,District,Year,Education_Index,Healthcare_Index,Food_Security_Index,Employment_Index
Kerala,Thiruvananthapuram,2010,92.74,70.22,69.98,40.02
Kerala,Thiruvananthapuram,2011,93.02,71.82,70.4,41.39
Kerala,Thiruvananthapuram,2012,93.3,73.42,70.83,42.76
Kerala,Thiruvananthapuram,2013,93.58,75.01,71.25,44.13
Kerala,Thiruvananthapuram,2014,93.86,76.61,72.88,45.5
Kerala,Thiruvananthapuram,2015,94.14,78.2,74.5,46.86
Kerala,Thiruvananthapuram,2016,94.54,79.8,76.12,48.23
Kerala,Thiruvananthapuram,2017,94.94,81.4,77.83,49.6
Kerala,Thiruvananthapuram,2018,95.34,83.0,79.54,51.52
Kerala,Thiruvananthapuram,2019,95.74,84.6,81.25,53.44
Kerala,Thiruvananthapuram,2020,96.14,86.2,82.96,50.4
Kerala,Thiruvananthapuram,2021,96.54,86.2,85.12,53.93
Kerala,Thiruvananthapuram,2022,96.94,87.35,87.28,59.2
Kerala,Thiruvananthapuram,2023,97.34,88.5,89.44,60.74
Kerala,Thiruvananthapuram,2024,97.74,89.66,91.6,62.27
Kerala,Thiruvananthapuram,2025,98.14,90.81,93.76,63.81
Kerala,Thiruvananthapuram,2026,98.54,91.96,95.92,65.34
Kerala,Ernakulam,2010,95.61,72.51,73.95,45.42
Kerala,Ernakulam,2011,95.89,74.16,74.31,46.79
Kerala,Ernakulam,2012,96.17,75.81,74.68,48.16
Kerala,Ernakulam,2013,96.45,77.46,75.05,49.53
Kerala,Ernakulam,2014,96.73,79.1,76.62,50.9
Kerala,Ernakulam,2015,97.01,80.75,78.19,52.26
Kerala,Ernakulam,2016,97.41,82.4,79.75,53.63
Kerala,Ernakulam,2017,97.81,84.15,81.4,55.0
Kerala,Ernakulam,2018,98.21,85.9,83.04,56.92
Kerala,Ernakulam,2019,98.61,87.65,84.68,58.84
Kerala,Ernakulam,2020,99.0,89.4,86.32,55.8
Kerala,Ernakulam,2021,99.0,89.4,88.48,59.33
Kerala,Ernakulam,2022,99.0,90.66,90.64,64.6
Kerala,Ernakulam,2023,99.0,91.92,92.8,66.14
Kerala,Ernakulam,2024,99.0,93.18,94.96,67.67
Kerala,Ernakulam,2025,99.0,94.44,97,69.21
Kerala,Ernakulam,2026,99.0,95.7,97,70.74
Kerala,Kozhikode,2010,94.83,69.61,69.7,43.22
Kerala,Kozhikode,2011,95.11,71.19,70.13,44.59
Kerala,Kozhikode,2012,95.39,72.77,70.55,45.96
Kerala,Kozhikode,2013,95.67,74.35,70.98,47.33
Kerala,Kozhikode,2014,95.95,75.94,72.61,48.7
Kerala,Kozhikode,2015,96.23,77.52,74.24,50.06
Kerala,Kozhikode,2016,96.63,79.1,75.87,51.43
Kerala,Kozhikode,2017,97.03,80.92,77.58,52.8
Kerala,Kozhikode,2018,97.43,82.75,79.29,54.72
Kerala,Kozhikode,2019,97.83,84.58,81.01,56.64
Kerala,Kozhikode,2020,98.23,86.4,82.72,53.6
Kerala,Kozhikode,2021,98.63,86.4,84.88,57.13
Kerala,Kozhikode,2022,99.0,87.71,87.04,62.4
Kerala,Kozhikode,2023,99.0,89.03,89.2,63.94
Kerala,Kozhikode,2024,99.0,90.34,91.36,65.47
Kerala,Kozhikode,2025,99.0,91.66,93.52,67.01
Kerala,Kozhikode,2026,99.0,92.97,95.68,68.54
Kerala,Thrissur,2010,94.77,71.19,73.38,40.02
Kerala,Thrissur,2011,95.05,72.81,73.76,41.39
Kerala,Thrissur,2012,95.33,74.43,74.13,42.76
Kerala,Thrissur,2013,95.61,76.05,74.51,44.13
Kerala,Thrissur,2014,95.89,77.66,76.08,45.5
Kerala,Thrissur,2015,96.17,79.28,77.66,46.86
Kerala,Thrissur,2016,96.57,80.9,79.24,48.23
Kerala,Thrissur,2017,96.97,82.62,80.89,49.6
Kerala,Thrissur,2018,97.37,84.35,82.54,51.52
Kerala,Thrissur,2019,97.77,86.08,84.19,53.44
Kerala,Thrissur,2020,98.17,87.8,85.84,50.4
Kerala,Thrissur,2021,98.57,87.8,88.0,53.93
Kerala,Thrissur,2022,98.97,89.04,90.16,59.2
Kerala,Thrissur,2023,99.0,90.28,92.32,60.74
Kerala,Thrissur,2024,99.0,91.53,94.48,62.27
Kerala,Thrissur,2025,99.0,92.77,96.64,63.81
Kerala,Thrissur,2026,99.0,94.01,97,65.34
Kerala,Kollam,2010,93.49,69.17,71.11,40.02
Kerala,Kollam,2011,93.77,70.74,71.52,41.39
Kerala,Kollam,2012,94.05,72.31,71.93,42.76
Kerala,Kollam,2013,94.33,73.88,72.34,44.13
Kerala,Kollam,2014,94.61,75.46,73.95,45.5
Kerala,Kollam,2015,94.89,77.03,75.55,46.86
Kerala,Kollam,2016,95.29,78.6,77.16,48.23
Kerala,Kollam,2017,95.69,80.3,78.85,49.6
Kerala,Kollam,2018,96.09,82.0,80.54,51.52
Kerala,Kollam,2019,96.49,83.7,82.23,53.44
Kerala,Kollam,2020,96.89,85.4,83.92,50.4
Kerala,Kollam,2021,97.29,85.4,86.08,53.93
Kerala,Kollam,2022,97.69,86.62,88.24,59.2
Kerala,Kollam,2023,98.09,87.85,90.4,60.74
Kerala,Kollam,2024,98.49,89.07,92.56,62.27
Kerala,Kollam,2025,98.89,90.3,94.72,63.81
Kerala,Kollam,2026,99.0,91.52,96.88,65.34
Kerala,Kannur,2010,94.83,70.22,72.25,40.02
Kerala,Kannur,2011,95.11,71.82,72.64,41.39
Kerala,Kannur,2012,95.39,73.42,73.03,42.76
Kerala,Kannur,2013,95.67,75.01,73.42,44.13
Kerala,Kannur,2014,95.95,76.61,75.01,45.5
Kerala,Kannur,2015,96.23,78.2,76.61,46.86
Kerala,Kannur,2016,96.63,79.8,78.2,48.23
Kerala,Kannur,2017,97.03,81.55,79.87,49.6
Kerala,Kannur,2018,97.43,83.3,81.54,51.52
Kerala,Kannur,2019,97.83,85.05,83.21,53.44
Kerala,Kannur,2020,98.23,86.8,84.88,50.4
Kerala,Kannur,2021,98.63,86.8,87.04,53.93
Kerala,Kannur,2022,99.0,88.06,89.2,59.2
Kerala,Kannur,2023,99.0,89.32,91.36,60.74
