State,District,Year,Education_Index,Healthcare_Index,Food_Security_Index,Employment_Index
Maharashtra,Mumbai,2024,89.34,83.55,84.01,58.54
Maharashtra,Mumbai,2025,89.86,84.66,85.01,59.1
Maharashtra,Mumbai,2026,91.83,85.04,86.58,59.88
Maharashtra,Pune,2024,67.96,66.32,87.07,70.65
Maharashtra,Pune,2025,69.04,66.84,87.74,71.45
Maharashtra,Pune,2026,69.29,68.2,89.79,72.09
Maharashtra,Nagpur,2024,89.98,84.07,84.68,79.8
Maharashtra,Nagpur,2025,91.25,84.85,85.54,80.38
Maharashtra,Nagpur,2026,91.09,85.77,87.66,81.63
Maharashtra,Nashik,2024,83.62,74.68,81.41,70.45
Maharashtra,Nashik,2025,84.25,76.08,82.77,71.69
Maharashtra,Nashik,2026,86.01,77.09,82.92,72.4
Maharashtra,Thane,2024,66.5,74.95,71.52,78.92
Maharashtra,Thane,2025,67.8,75.48,72.71,79.76
Maharashtra,Thane,2026,69.21,77.88,73.13,80.64
Maharashtra,Aurangabad,2024,66.02,79.64,65.55,77.2
Maharashtra,Aurangabad,2025,67.11,80.73,66.3,78.04
Maharashtra,Aurangabad,2026,68.2,82.59,68.48,78.49
Maharashtra,Solapur,2024,89.22,65.0,89.32,68.24
Maharashtra,Solapur,2025,89.95,66.1,90.7,68.9
Maharashtra,Solapur,2026,92.06,66.55,90.39,70.19
Maharashtra,Amravati,2024,86.57,66.72,68.73,79.55
Maharashtra,Amravati,2025,87.17,67.92,69.52,80.65
Maharashtra,Amravati,2026,88.68,69.01,69.99,82.4
Maharashtra,Kolhapur,2024,89.19,73.94,87.1,66.12
Maharashtra,Kolhapur,2025,90.05,74.72,88.4,67.53
Maharashtra,Kolhapur,2026,90.43,76.72,89.49,69.01
Maharashtra,Latur,2024,87.28,60.06,74.97,72.84
Maharashtra,Latur,2025,87.9,61.14,75.79,73.56
Maharashtra,Latur,2026,88.48,62.54,77.94,73.92
Uttar Pradesh,Lucknow,2024,74.57,68.63,72.81,76.69
Uttar Pradesh,Lucknow,2025,75.78,70.0,73.73,77.28
Uttar Pradesh,Lucknow,2026,75.97,69.81,74.57,79.64
Uttar Pradesh,Kanpur Nagar,2024,65.95,84.44,82.59,73.29
Uttar Pradesh,Kanpur Nagar,2025,66.65,85.33,83.54,74.6
Uttar Pradesh,Kanpur Nagar,2026,67.7,86.58,84.66,75.49
Uttar Pradesh,Varanasi,2024,89.53,73.8,75.15,66.53
